NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;VIDEO_DURATION;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
90.0;7.0;4608.0;85.0;0.99794661191;1500.0;61.0;76.0;215.1328796153703;0.207530647986;77.87;237.0;1.77777777778;1664.5629;17.221787030485284;7.9;1142.0;7.7;0.251313485114;7.85;287.0;30.185314908;15.30316150071616;60.01;16.085304304668284;21.0;152.294896252;143.53945106;16.7;104.0;easy
76.0;4.6;4370.0;62.0;1.0;1500.0;116.0;40.0;194.06010881707044;0.100727476217;89.68;180.0;1.77777777778;1677.7215;19.21838778183291;4.8;1787.0;4.3;0.29155008394;10.8166666667;521.0;16.6184526374;29.053867803300086;79.67;14.547912114197526;21.0;169.108227037;164.061057426;9.8;110.0;difficult
52.0;8.4;4609.0;43.0;0.994011976048;1500.0;41.0;46.0;232.2050857139886;0.172193877551;69.01;135.0;1.77777777778;1664.5629;19.518340491010548;9.0;784.0;9.9;0.21556122449;5.55;169.0;24.2936836423;16.327034721067136;38.08;15.415163117052957;17.0;149.228636417;141.083318337;18.9;87.0;difficult
70.0;5.1;7.0;142.0;1.0;1500.0;47.0;13.0;156.37179809237298;0.794435857805;82.85;514.0;1.77777777778;0.0;28.011958630002074;3.9;647.0;2.3;0.425038639876;4.43333333333;275.0;115.739698266;54.59981607914873;106.4;58.74233075987193;33.0;150.170963867;147.03895519;0.8;37.0;easy
38.0;7.7;8.0;80.0;1.0;1500.0;32.0;12.0;144.45487084478475;0.451070336391;76.15;295.0;1.77777777778;0.0;27.977018780675422;6.5;654.0;5.8;0.403669724771;4.7;264.0;62.6016835255;26.94329902008899;97.27;69.99374472418528;12.0;145.302302672;139.633585626;8.9;52.0;easy
141.0;7.0;4399.0;216.0;1.0;1500.0;120.0;119.0;111.77630234382043;0.269662921348;78.08;600.0;1.77777777778;0.0;16.33553779423208;7.5;2225.0;4.7;0.278651685393;13.2333333333;620.0;45.3023934765;15.660647176601778;83.86;22.13798870894163;47.0;169.450163959;168.373895754;13.5;157.0;intermediate
231.0;6.8;5138.0;264.0;0.999324780554;1500.0;205.0;170.0;183.48895915521507;0.182917002417;78.38;681.0;1.77777777778;1677.7215;16.59967478031026;7.0;3723.0;6.4;0.322320709106;23.8833333333;1200.0;28.513010893;16.952789642310822;63.25;19.098981082914467;84.0;167.558342182;155.586414799;10.3;312.0;intermediate
26.0;7.6;5139.0;60.0;1.0;1500.0;26.0;39.0;172.65540554365504;0.306513409962;76.45;160.0;1.77777777778;1677.7215;10.078758495098082;7.5;522.0;6.3;0.258620689655;3.33333333333;135.0;47.7635703269;19.830491792580304;63.76;19.494632374393444;21.0;160.23526111;154.037514304;12.8;46.0;intermediate
90.0;9.0;5141.0;47.0;1.0;1500.0;49.0;24.0;176.13838841523048;0.108374384236;67.38;110.0;1.77777777778;1677.7215;13.470286037954484;9.7;1015.0;9.9;0.266995073892;6.71666666667;271.0;16.3548507;18.191717752070346;49.01;15.779058274317;8.0;153.595883933;151.059348284;16.0;105.0;intermediate
130.0;11.1;5326.0;92.0;0.999004975124;1500.0;86.0;68.0;243.85823649691378;0.108831400535;61.9;244.0;1.77777777778;1677.7215;18.228742207925027;11.6;2242.0;12.4;0.247992863515;16.2;556.0;15.0561520425;19.78960612255083;36.89;7.487641858224317;14.0;155.362582236;137.850178946;16.4;160.0;easy
