programming:DoWhileLoop;programming:Headers;VIDEO_DOMINANT_COLOR;programming:datawarehouse;VIDEO_AVERAGE_BRIGHTNESS;programming:PrimitiveType;programming:Array;WORD_AMOUNT;programming:ArithmeticOperator;programming:EqualityOperator;programming:Return;programming:ControlFlow;programming:machine-learning;VIDEO_DURATION;programming:Character;programming:Statement;programming:Encapsulation;UNCOMMON WORDS AMOUNT;VIDEO_WORDS_COUNT;VIDEO_DIFFICULT_WORDS;programming:iot;programming:Import;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;programming:ExceptionHandling;programming:Break;programming:Process;programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;programming:CallByValue;VIDEOID;programming:MemoryManagement;programming:If;programming:Method;programming:LambdaExpression;programming:Operator;programming:Synchronization;programming:encoding;programming:Interface;programming:ClassAttribute;programming:Inheritance;programming:Instantiation;programming:This;programming:GenericType;programming:Null;programming:Structure;programming:Attribute;programming:Composition;programming:Scope;programming:CallByReference;programming:Assertion;DIFFICULT_WORDS_AMOUNT;programming:MapReduce;programming:Parameter;programming:InstanceAttribute;programming:ShortCircuitEvaluation;programming:Expression;programming:Equality;programming:VariableInitialization;SPEECH_DISPLAY_WORDS_RATIO;programming:Generics;programming:EnhancedForLoop;programming:BinaryOperator;programming:Initialization;programming:AnonymousClass;programming:Assignment;AUTOMATED_READABILITY_INDEX;WORDS_PER_MINUTE;programming:Stack;programming:WhileLoop;programming:list;VIDEO_AVERAGE_HUE;programming:Modifier;EASY_VIDEO_READ;programming:sorting;programming:database;programming:Enum;programming:Boolean;programming:Comment;programming:Concurrency;programming:String;VIDEO_NOUN_PHRASES;programming:CheckedException;programming:entity;programming:Graph;programming:Loop;PHRASES_AMOUNT;programming:Package;VIDEO_SIZE;FLESCH_KINCAID_GRADE;programming:repository;programming:Artificial Intelligence;VIDEO_AVERAGE_LIGHT_EXPOSURE;programming:Constructor;programming:git;programming:bitmap;VIDEO_ASPECT_RATIO;VIDEO_AVERAGE_COLORFULNESS;FLESCH_READING_EASE;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;programming:Pointer;math:vector;programming:AbstractMethod;WORDS_PER_MINUTE_WHOLE_VIDEO;programming:ForLoop;programming:BitwiseOperator;programming:Object;VIDEO_PHRASES_COUNT;programming:Condition;programming:Casting;programming:ConditionalOperator;VIDEO_AVERAGE_SATURATION;programming:Class;programming:RelationalOperator;score
0.0;0.0;1664.5629;0.0;0.99794661191;0.0;0.0;1142.0;1.0;0.0;0.0;0.0;0.0;7.85;0.0;0.0;0.0;287.0;237.0;76.0;0.0;0.0;0.0;143.53945106;16.7;0.0;0.0;0.0;0.0;90.0;1.0;4608;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.207530647986;0.0;0.0;0.0;0.0;0.0;0.0;7.9;152.294896252;0.0;0.0;0.0;15.3031615007;0.0;60.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;0.0;0.0;0.0;0.0;61.0;0.0;1500.0;7.0;0.0;0.0;215.132879615;0.0;0.0;0.0;1.77777777778;17.2217870305;77.87;7.7;0.251313485114;0.0;0.0;0.0;30.185314908;0.0;0.0;1.0;21.0;0.0;0.0;0.0;16.0853043047;1.0;0.0;intermediate
0.0;0.0;1664.5629;0.0;0.994011976048;0.0;1.0;784.0;0.0;0.0;0.0;0.0;0.0;5.55;0.0;0.0;0.0;169.0;135.0;46.0;0.0;0.0;0.0;141.083318337;18.9;0.0;0.0;0.0;0.0;52.0;0.0;4609;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.172193877551;0.0;0.0;0.0;0.0;0.0;0.0;9.0;149.228636417;0.0;0.0;0.0;16.3270347211;0.0;38.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;0.0;41.0;0.0;1500.0;8.4;0.0;0.0;232.205085714;0.0;0.0;0.0;1.77777777778;19.518340491;69.01;9.9;0.21556122449;0.0;0.0;1.0;24.2936836423;0.0;0.0;0.0;17.0;0.0;0.0;0.0;15.4151631171;1.0;0.0;intermediate
1.0;0.0;0.0;0.0;1.0;0.0;0.0;852.0;1.0;0.0;0.0;0.0;0.0;5.75;0.0;0.0;0.0;436.0;401.0;11.0;0.0;0.0;0.0;147.940453823;-0.6;0.0;0.0;0.0;0.0;90.0;0.0;3;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.470657276995;0.0;0.0;0.0;0.0;0.0;0.0;0.4;150.894665617;0.0;1.0;0.0;46.219233619;0.0;96.69;0.0;0.0;0.0;0.0;0.0;1.0;0.0;204.0;0.0;0.0;0.0;1.0;64.0;0.0;1500.0;3.8;0.0;0.0;152.850199848;0.0;0.0;0.0;1.77777777778;24.5992773406;91.82;1.9;0.511737089202;0.0;0.0;1.0;69.5476224888;0.0;0.0;0.0;47.0;1.0;0.0;1.0;43.3321834022;0.0;1.0;easy
0.0;0.0;0.0;0.0;1.0;0.0;0.0;632.0;1.0;1.0;0.0;0.0;0.0;4.15;0.0;0.0;0.0;213.0;167.0;5.0;0.0;0.0;0.0;152.178261391;6.4;0.0;0.0;1.0;0.0;25.0;0.0;11;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.264240506329;0.0;0.0;0.0;0.0;0.0;0.0;3.8;154.430122805;0.0;0.0;0.0;31.867618125;0.0;101.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;0.0;0.0;42.0;0.0;1500.0;5.6;0.0;0.0;142.920770185;0.0;0.0;0.0;1.77777777778;31.0305555815;81.63;4.4;0.337025316456;0.0;0.0;0.0;40.0848101772;0.0;0.0;0.0;8.0;0.0;0.0;0.0;64.1455592824;0.0;0.0;easy
0.0;0.0;1677.7215;0.0;1.0;0.0;0.0;1015.0;1.0;0.0;0.0;0.0;0.0;6.71666666667;0.0;0.0;0.0;271.0;110.0;24.0;0.0;0.0;0.0;151.059348284;16.0;0.0;0.0;0.0;0.0;90.0;0.0;5141;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.108374384236;0.0;0.0;0.0;0.0;0.0;0.0;9.7;153.595883933;0.0;0.0;0.0;18.1917177521;0.0;49.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;0.0;0.0;0.0;49.0;0.0;1500.0;9.0;0.0;0.0;176.138388415;1.0;0.0;0.0;1.77777777778;13.470286038;67.38;9.9;0.266995073892;0.0;0.0;0.0;16.3548507;0.0;0.0;0.0;8.0;0.0;0.0;0.0;15.7790582743;0.0;0.0;intermediate
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1099.0;0.0;0.0;0.0;0.0;0.0;6.8;0.0;0.0;0.0;389.0;713.0;49.0;0.0;0.0;0.0;161.506809053;23.3;0.0;0.0;0.0;0.0;76.0;0.0;943;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;80.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.648771610555;0.0;0.0;0.0;0.0;0.0;0.0;9.3;165.748775376;0.0;0.0;0.0;47.2146396587;0.0;48.64;0.0;0.0;0.0;1.0;0.0;0.0;0.0;318.0;0.0;0.0;0.0;0.0;42.0;0.0;1500.0;10.0;0.0;0.0;191.09747559;0.0;0.0;0.0;1.77777777778;38.6441563823;70.26;18.3;0.353958143767;0.0;0.0;0.0;104.781032625;0.0;0.0;0.0;15.0;1.0;0.0;0.0;68.8255322108;0.0;0.0;intermediate
0.0;0.0;1677.7215;0.0;1.0;0.0;1.0;843.0;0.0;0.0;0.0;1.0;0.0;5.76666666667;0.0;0.0;0.0;256.0;91.0;24.0;0.0;0.0;0.0;145.641143911;12.1;0.0;0.0;0.0;0.0;69.0;0.0;5161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.107947805457;1.0;0.0;0.0;0.0;0.0;0.0;8.2;150.688568011;0.0;0.0;0.0;17.513654172;0.0;53.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;45.0;0.0;1500.0;8.2;0.0;0.0;186.976631127;0.0;0.0;0.0;1.77777777778;22.6558194586;69.41;8.0;0.303677342823;0.0;0.0;0.0;15.7403136531;0.0;0.0;0.0;10.0;0.0;0.0;0.0;27.9068540143;0.0;0.0;easy
0.0;0.0;1677.7215;0.0;0.985454545455;0.0;0.0;690.0;0.0;0.0;0.0;0.0;0.0;4.56666666667;0.0;0.0;0.0;194.0;218.0;59.0;0.0;0.0;0.0;149.48172395;15.5;0.0;0.0;0.0;0.0;57.0;0.0;1067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.315942028986;0.0;0.0;0.0;0.0;0.0;0.0;13.6;166.740367802;0.0;0.0;0.0;82.438039422;0.0;66.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;0.0;0.0;0.0;27.0;0.0;1500.0;12.1;0.0;0.0;138.863936027;0.0;0.0;0.0;1.77777777778;20.6964779018;53.95;9.4;0.28115942029;0.0;0.0;0.0;47.5722858702;0.0;0.0;0.0;10.0;0.0;0.0;0.0;19.0887558852;0.0;0.0;easy
0.0;0.0;1447.446;0.0;1.0;0.0;0.0;804.0;0.0;0.0;0.0;0.0;0.0;6.78333333333;0.0;0.0;0.0;216.0;478.0;45.0;0.0;0.0;0.0;118.747697974;16.2;0.0;0.0;0.0;0.0;58.0;0.0;5469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.594527363184;0.0;0.0;0.0;0.0;0.0;0.0;5.9;180.378255895;0.0;0.0;0.0;46.5165049641;0.0;74.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.0;0.0;0.0;0.0;0.0;65.0;0.0;1500.0;4.6;0.0;0.0;161.178181239;0.0;0.0;0.0;1.77777777778;56.9992258135;84.27;10.2;0.268656716418;0.0;0.0;0.0;70.423572744;1.0;0.0;0.0;16.0;0.0;0.0;0.0;67.7587059076;0.0;0.0;easy
0.0;0.0;1677.7215;1.0;0.983193277311;0.0;0.0;746.0;0.0;0.0;0.0;0.0;0.0;5.95;0.0;0.0;0.0;240.0;159.0;57.0;0.0;0.0;0.0;125.223813787;87.6;0.0;0.0;0.0;0.0;90.0;0.0;1590;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.213136729223;0.0;0.0;0.0;0.0;0.0;0.0;15.3;155.378361584;0.0;0.0;0.0;50.5427203505;0.0;-98.38;0.0;1.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;0.0;0.0;0.0;45.0;0.0;1500.0;12.1;0.0;0.0;232.360549547;0.0;0.0;0.0;1.77777777778;25.5331360173;37.71;66.5;0.321715817694;0.0;0.0;0.0;26.6897940913;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.5912224211;0.0;0.0;intermediate
