NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
90.0;7.0;4608.0;85.0;0.99794661191;1500.0;61.0;76.0;215.1328796153703;0.207530647986;77.87;237.0;1.77777777778;1664.5629;17.221787030485284;7.9;1142.0;7.7;0.251313485114;152.294896252;287.0;30.185314908;15.30316150071616;60.01;16.085304304668284;21.0;7.85;143.53945106;16.7;104.0;intermediate
52.0;8.4;4609.0;43.0;0.994011976048;1500.0;41.0;46.0;232.2050857139886;0.172193877551;69.01;135.0;1.77777777778;1664.5629;19.518340491010548;9.0;784.0;9.9;0.21556122449;149.228636417;169.0;24.2936836423;16.327034721067136;38.08;15.415163117052957;17.0;5.55;141.083318337;18.9;87.0;intermediate
90.0;3.8;3.0;204.0;1.0;1500.0;64.0;11.0;152.85019984790904;0.470657276995;91.82;401.0;1.77777777778;0.0;24.599277340568843;0.4;852.0;1.9;0.511737089202;150.894665617;436.0;69.5476224888;46.219233619005585;96.69;43.33218340224258;47.0;5.75;147.940453823;-0.6;47.0;easy
90.0;9.0;5141.0;47.0;1.0;1500.0;49.0;24.0;176.13838841523048;0.108374384236;67.38;110.0;1.77777777778;1677.7215;13.470286037954484;9.7;1015.0;9.9;0.266995073892;153.595883933;271.0;16.3548507;18.191717752070346;49.01;15.779058274317;8.0;6.71666666667;151.059348284;16.0;105.0;intermediate
76.0;10.0;943.0;318.0;1.0;1500.0;42.0;49.0;191.09747559022315;0.648771610555;70.26;713.0;1.77777777778;0.0;38.64415638229472;9.3;1099.0;18.3;0.353958143767;165.748775376;389.0;104.781032625;47.214639658665384;48.64;68.82553221084929;15.0;6.8;161.506809053;23.3;80.0;intermediate
69.0;8.2;5161.0;34.0;1.0;1500.0;45.0;24.0;186.97663112725473;0.107947805457;69.41;91.0;1.77777777778;1677.7215;22.655819458625;8.2;843.0;8.0;0.303677342823;150.688568011;256.0;15.7403136531;17.513654172003413;53.78;27.906854014346912;10.0;5.76666666667;145.641143911;12.1;79.0;easy
57.0;12.1;1067.0;72.0;0.985454545455;1500.0;27.0;59.0;138.86393602693607;0.315942028986;53.95;218.0;1.77777777778;1677.7215;20.696477901818973;13.6;690.0;9.4;0.28115942029;166.740367802;194.0;47.5722858702;82.43803942199774;66.27;19.088755885241316;10.0;4.56666666667;149.48172395;15.5;95.0;easy
58.0;4.6;5469.0;145.0;1.0;1500.0;65.0;45.0;161.17818123918653;0.594527363184;84.27;478.0;1.77777777778;1447.446;56.99922581350988;5.9;804.0;10.2;0.268656716418;180.378255895;216.0;70.423572744;46.51650496411393;74.97;67.75870590763468;16.0;6.78333333333;118.747697974;16.2;95.0;easy
90.0;12.1;1590.0;38.0;0.983193277311;1500.0;45.0;57.0;232.3605495469792;0.213136729223;37.71;159.0;1.77777777778;1677.7215;25.53313601733755;15.3;746.0;66.5;0.321715817694;155.378361584;240.0;26.6897940913;50.5427203504858;-98.38;18.59122242106721;1.0;5.95;125.223813787;87.6;156.0;intermediate
104.0;10.4;1591.0;65.0;0.984455958549;1500.0;50.0;62.0;234.94380457705654;0.227472527473;53.0;207.0;1.77777777778;1677.7215;15.438831532110235;11.7;910.0;43.7;0.293406593407;171.670041377;267.0;32.2162274331;37.69757540639199;-33.59;10.769418227867327;2.0;6.41666666667;141.626893546;58.2;174.0;easy
