WORD_AMOUNT,NOUN_PHRASES_AMOUNT,PHRASES_AMOUNT,VIDEOID,AUTOMATED_READABILITY_INDEX,FLESCH_READING_EASE,DIFFICULT_WORDS_AMOUNT,qualification,FLESCH_KINCAID_GRADE
1156,43,57,1536,8.4,76.25,96,3,7.7
1757,104,117,4610,6.6,81.63,166,2.167,5.6
528,21,24,5643,7.3,82.99,30,4,7.2
3086,238,153,5151,9.2,67.89,286,3,8.8
363,21,25,5672,5,82.14,41,5,5.4
525,23,32,5677,6.3,80.21,40,4,6.1
494,34,28,5679,5.3,78.99,42,5,6.6
412,38,21,5680,8.7,68.5,48,5,8.6
449,21,29,5682,5.8,81.12,42,3.167,5.8
825,42,46,5704,9.5,70.23,62,5,7.9
825,115,62,5708,5.9,83.36,71,3.333,4.9
1527,99,84,3854,8.5,69.92,122,4,8
172,12,11,3161,9.5,55.64,34,4.5,9.4
1007,82,60,3162,11.1,54.42,154,3.5,9.8
707,37,49,5727,3.4,90.7,43,4.5,4.2
1713,115,115,3857,6.8,81.73,113,4.5,5.6
1916,168,105,4717,8.2,78.38,160,4,6.8
1127,102,80,4718,6.1,82.54,109,3.5,5.2
1264,77,72,4720,7.9,78.99,111,2.5,6.6
987,68,67,4721,7.4,73.47,110,3.5,6.7
1515,88,113,5310,5.7,74.79,131,4.5,6.2
1094,115,54,1174,7.3,76.25,91,3.5,7.7
1749,178,100,1175,7.2,79.09,143,1.5,6.6
3982,245,165,1188,9.7,72.39,223,2,9.1
821,54,61,5489,4.7,83.15,71,4.5,5
2199,157,93,1194,12.6,55.98,264,2.5,11.3
1439,97,75,3759,9.6,60.45,118,3,9.6
710,81,51,3248,8.9,65.83,110,2.667,7.5
1500,73,89,4274,6.8,79.7,103,1.5,6.3
1457,52,77,4275,7.3,77.67,100,1.5,7.1
934,79,62,3254,8.7,64.61,130,4,8
1010,57,67,5303,9.3,64.61,153,5,8
3041,182,187,5304,8.4,63.39,335,4,8.5
