WORD_AMOUNT,NOUN_PHRASES_AMOUNT,PHRASES_AMOUNT,VIDEOID,AUTOMATED_READABILITY_INDEX,FLESCH_READING_EASE,DIFFICULT_WORDS_AMOUNT,qualification,FLESCH_KINCAID_GRADE
1156.0,43.0,57.0,1536,8.4,76.25,96.0,intermediate,7.7
1757.0,104.0,117.0,4610,6.6,81.63,166.0,hard,5.6
528.0,21.0,24.0,5643,7.3,82.99,30.0,easy,7.2
3086.0,238.0,153.0,5151,9.2,67.89,286.0,intermediate,8.8
363.0,21.0,25.0,5672,5.0,82.14,41.0,easy,5.4
525.0,23.0,32.0,5677,6.3,80.21,40.0,easy,6.1
494.0,34.0,28.0,5679,5.3,78.99,42.0,easy,6.6
412.0,38.0,21.0,5680,8.7,68.5,48.0,easy,8.6
449.0,21.0,29.0,5682,5.8,81.12,42.0,intermediate,5.8
825.0,42.0,46.0,5704,9.5,70.23,62.0,easy,7.9
825.0,115.0,62.0,5708,5.9,83.36,71.0,intermediate,4.9
1527.0,99.0,84.0,3854,8.5,69.92,122.0,easy,8.0
172.0,12.0,11.0,3161,9.5,55.64,34.0,easy,9.4
1007.0,82.0,60.0,3162,11.1,54.42,154.0,intermediate,9.8
707.0,37.0,49.0,5727,3.4,90.7,43.0,easy,4.2
1713.0,115.0,115.0,3857,6.8,81.73,113.0,easy,5.6
1916.0,168.0,105.0,4717,8.2,78.38,160.0,easy,6.8
1127.0,102.0,80.0,4718,6.1,82.54,109.0,intermediate,5.2
1264.0,77.0,72.0,4720,7.9,78.99,111.0,intermediate,6.6
987.0,68.0,67.0,4721,7.4,73.47,110.0,intermediate,6.7
1515.0,88.0,113.0,5310,5.7,74.79,131.0,easy,6.2
1094.0,115.0,54.0,1174,7.3,76.25,91.0,intermediate,7.7
1749.0,178.0,100.0,1175,7.2,79.09,143.0,hard,6.6
3982.0,245.0,165.0,1188,9.7,72.39,223.0,hard,9.1
821.0,54.0,61.0,5489,4.7,83.15,71.0,easy,5.0
2199.0,157.0,93.0,1194,12.6,55.98,264.0,intermediate,11.3
1439.0,97.0,75.0,3759,9.6,60.45,118.0,intermediate,9.6
710.0,81.0,51.0,3248,8.9,65.83,110.0,intermediate,7.5
1500.0,73.0,89.0,4274,6.8,79.7,103.0,hard,6.3
1457.0,52.0,77.0,4275,7.3,77.67,100.0,hard,7.1
934.0,79.0,62.0,3254,8.7,64.61,130.0,easy,8.0
1010.0,57.0,67.0,5303,9.3,64.61,153.0,easy,8.0
3041.0,182.0,187.0,5304,8.4,63.39,335.0,easy,8.5
180.0,13.0,11.0,3257,9.5,63.29,31.0,easy,8.5
2083.0,80.0,101.0,5307,9.9,67.49,159.0,easy,9.0
1892.0,132.0,67.0,5308,13.3,51.31,150.0,easy,13.1
1761.0,82.0,76.0,5309,10.3,64.85,108.0,easy,10.0
1523.0,135.0,72.0,1214,10.0,66.88,139.0,intermediate,9.2
2109.0,136.0,126.0,4287,6.8,79.9,179.0,hard,6.3
905.0,56.0,91.0,5312,2.4,86.81,42.0,intermediate,3.6
2514.0,149.0,106.0,1217,11.5,64.34,241.0,intermediate,10.2
890.0,53.0,53.0,5314,7.7,71.34,99.0,intermediate,7.5
75.0,8.0,7.0,3269,7.1,69.07,16.0,easy,6.3
1155.0,83.0,48.0,4294,9.9,80.85,89.0,hard,8.0
1208.0,113.0,52.0,5320,11.8,64.85,94.0,easy,10.0
1653.0,116.0,118.0,5322,6.9,74.19,135.0,easy,6.4
1148.0,147.0,84.0,3275,10.3,66.03,168.0,intermediate,7.5
276.0,37.0,16.0,3276,11.6,53.92,66.0,intermediate,10.0
2242.0,130.0,86.0,5326,11.6,61.9,160.0,easy,11.1
2625.0,139.0,101.0,5328,11.8,62.01,195.0,easy,11.1
767.0,75.0,37.0,5330,9.8,67.38,88.0,easy,9.0
2925.0,158.0,115.0,5332,11.9,62.61,265.0,intermediate,10.8
2233.0,102.0,95.0,5336,11.0,73.0,134.0,intermediate,8.9
2074.0,121.0,101.0,4313,8.4,76.05,156.0,hard,7.7
617.0,43.0,36.0,3291,9.1,71.04,85.0,easy,7.6
380.0,25.0,21.0,3292,8.5,70.02,47.0,easy,8.0
1654.0,108.0,94.0,4318,7.6,78.99,141.0,hard,6.6
1107.0,61.0,63.0,4319,8.2,70.53,117.0,hard,7.8
37.0,6.0,3.0,5840,12.2,42.07,5.0,easy,10.4
1505.0,126.0,61.0,1261,10.8,71.78,121.0,hard,9.4
1163.0,81.0,57.0,4334,8.3,76.15,119.0,intermediate,7.7
1227.0,76.0,58.0,4340,9.2,75.34,109.0,hard,8.0
663.0,52.0,40.0,3892,8.6,71.55,66.0,easy,7.4
594.0,41.0,44.0,761,5.5,83.15,76.0,intermediate,5.0
2180.0,152.0,126.0,3842,8.1,70.84,180.0,easy,7.7
229.0,3.0,9.0,3843,11.2,71.07,26.0,easy,9.7
1321.0,89.0,61.0,3844,10.1,66.37,108.0,easy,9.4
1284.0,67.0,71.0,3845,8.4,70.02,121.0,easy,8.0
427.0,34.0,34.0,3335,4.6,75.61,44.0,easy,5.8
1452.0,107.0,112.0,778,5.1,83.66,156.0,intermediate,4.8
966.0,53.0,72.0,5387,5.1,83.25,83.0,intermediate,5.0
217.0,10.0,17.0,781,6.9,66.94,44.0,intermediate,7.1
105.0,8.0,5.0,782,12.9,50.16,33.0,easy,11.5
924.0,59.0,50.0,3856,8.6,69.62,93.0,easy,8.1
1099.0,96.0,83.0,785,7.2,66.54,176.0,intermediate,7.3
1938.0,143.0,102.0,786,9.8,60.65,251.0,intermediate,9.5
1234.0,108.0,79.0,788,8.0,64.1,157.0,hard,8.2
529.0,36.0,36.0,789,7.4,73.47,72.0,intermediate,6.7
893.0,44.0,61.0,3350,7.1,73.58,94.0,easy,6.6
483.0,40.0,49.0,791,5.1,78.35,76.0,easy,4.8
677.0,47.0,43.0,3352,5.9,80.92,70.0,easy,5.9
1658.0,115.0,126.0,4378,4.7,83.46,135.0,hard,4.9
2225.0,141.0,120.0,4399,7.5,78.08,157.0,intermediate,7.0
423.0,22.0,25.0,5411,8.2,71.24,66.0,easy,7.5
2081.0,87.0,133.0,3364,5.4,81.02,143.0,easy,5.8
257.0,19.0,11.0,5413,11.6,64.64,36.0,easy,10.1
2311.0,166.0,134.0,807,7.8,70.94,274.0,intermediate,7.6
21.0,4.0,1.0,3884,14.2,41.7,9.0,easy,12.7
1005.0,98.0,66.0,3887,7.1,72.97,94.0,intermediate,6.9
1504.0,117.0,79.0,4400,9.1,69.11,153.0,intermediate,8.3
611.0,47.0,40.0,3889,6.3,72.87,78.0,easy,6.9
1313.0,92.0,90.0,4403,5.9,82.04,140.0,easy,5.4
1697.0,130.0,113.0,2356,7.6,73.17,206.0,easy,6.8
331.0,22.0,21.0,3294,9.1,63.9,62.0,easy,8.3
508.0,22.0,36.0,5430,7.0,74.08,74.0,easy,6.4
1412.0,109.0,94.0,3380,6.2,73.17,118.0,easy,6.8
1747.0,109.0,90.0,4410,8.7,68.7,163.0,intermediate,8.5
1995.0,160.0,117.0,4413,7.4,79.5,179.0,hard,6.4
491.0,35.0,35.0,5429,7.0,74.19,73.0,easy,6.4
896.0,68.0,53.0,3904,8.8,71.24,106.0,easy,7.5
1694.0,129.0,104.0,835,7.3,71.85,165.0,intermediate,7.3
1897.0,104.0,97.0,5381,7.8,76.96,130.0,easy,7.4
1281.0,105.0,75.0,4423,8.1,71.04,128.0,easy,7.6
1463.0,94.0,89.0,4424,7.9,71.75,162.0,hard,7.3
475.0,44.0,28.0,3914,10.0,62.68,74.0,easy,8.7
2081.0,132.0,120.0,4430,7.7,79.3,196.0,hard,6.5
1787.0,76.0,116.0,4370,4.8,89.68,110.0,hard,4.6
415.0,26.0,27.0,5483,6.2,72.76,64.0,easy,6.9
764.0,43.0,51.0,5487,7.3,73.17,99.0,easy,6.8
805.0,51.0,52.0,5488,6.0,81.12,78.0,intermediate,5.8
1791.0,74.0,130.0,4465,4.2,91.31,114.0,easy,4.0
478.0,23.0,35.0,5505,5.4,82.95,46.0,easy,5.1
1231.0,87.0,96.0,419,4.3,75.4,122.0,easy,5.9
1780.0,94.0,109.0,421,5.9,80.31,98.0,easy,6.1
1460.0,155.0,116.0,5544,5.3,84.07,153.0,intermediate,4.7
1368.0,89.0,95.0,428,5.5,82.24,104.0,easy,5.4
343.0,16.0,24.0,2479,6.8,73.88,46.0,easy,6.5
882.0,64.0,60.0,5554,7.1,73.47,113.0,easy,6.7
428.0,30.0,22.0,5556,10.3,68.6,71.0,easy,8.5
633.0,31.0,33.0,5557,8.9,68.91,76.0,easy,8.4
940.0,70.0,79.0,5558,6.3,76.32,111.0,intermediate,5.6
712.0,44.0,42.0,5559,9.1,71.14,92.0,easy,7.6
631.0,44.0,40.0,5560,8.3,72.36,79.0,easy,7.1
131.0,6.0,7.0,5561,11.7,60.95,31.0,easy,9.4
2968.0,193.0,147.0,4027,9.2,67.89,271.0,intermediate,8.8
1167.0,125.0,76.0,5568,9.0,64.3,160.0,intermediate,8.1
1756.0,107.0,98.0,5621,8.0,78.69,119.0,easy,6.7
1261.0,75.0,94.0,5622,5.1,83.25,111.0,easy,5.0
300.0,14.0,16.0,5624,9.6,69.31,47.0,easy,8.3
4920.0,318.0,374.0,5628,4.4,83.46,307.0,easy,4.9
1650.0,100.0,91.0,4266,7.8,70.02,114.0,intermediate,8.0
