NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;VIDEO_DURATION;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
43.0;7.7;1536;102.0;1.0;1404.0;57.0;71.0;177.001727417;0.223183391003;76.25;258.0;1.6;1658.0088;41.0752743089;8.4;1156.0;6.3;0.265570934256;6.8;307.0;37.9030875836;35.5433963582;63.76;37.8017699949;34.0;170.791620891;170.270071742;12.9;96.0;easy
104.0;5.6;4610;88.0;0.99730820996;1500.0;117.0;73.0;232.93235462;0.158793397837;81.63;279.0;1.77777777778;1664.5629;17.4359204253;6.6;1757.0;4.9;0.268070574843;11.9666666667;471.0;23.3063236154;15.6822844257;77.94;14.1846798099;27.0;150.963192647;143.429955726;13.4;166.0;difficult
21.0;7.2;5643;12.0;1.0;1500.0;24.0;8.0;208.768920817;0.0435606060606;82.99;23.0;1.77777777778;1579.0582;37.1438790535;7.3;528.0;-0.9;0.289772727273;2.58333333333;153.0;8.87688151293;95.0764327739;114.42;41.1074196369;3.0;207.764952781;203.782323427;8.8;30.0;difficult
125.0;8.1;5568;132.0;1.0;1500.0;76.0;134.0;219.587052512;0.393316195373;64.3;459.0;1.77777777778;1585.5861;16.1221557488;9.0;1167.0;11.6;0.288774635818;7.46666666667;337.0;61.39373133;119.049191387;44.34;17.1024570977;25.0;164.021982038;156.092558741;19.2;160.0;easy
25.0;5.6;11;58.0;1.0;1500.0;42.0;5.0;142.920770185;0.264240506329;81.63;167.0;1.77777777778;0.0;31.0305555815;3.8;632.0;4.4;0.337025316456;4.15;213.0;40.0848101772;31.867618125;101.02;64.1455592824;8.0;154.430122805;152.178261391;6.4;40.0;easy
21.0;5.4;5672;22.0;1.0;1500.0;25.0;5.0;196.948900918;0.184573002755;82.14;67.0;1.77777777778;205.5558;39.3325468999;5.0;363.0;-1.0;0.338842975207;2.31666666667;123.0;28.8378766141;111.744966063;125.55;51.9948148975;5.0;162.007339559;156.671449067;2.2;41.0;intermediate
76.0;10.9;5270;7.0;1.0;1500.0;35.0;10.0;237.543077307;0.026936026936;62.51;24.0;1.77777777778;1677.7215;20.7439895275;12.4;891.0;8.8;0.297418630752;6.08333333333;265.0;3.94002407792;19.9851474746;46.44;12.9977060301;3.0;145.97260274;145.780890883;14.7;114.0;intermediate
58.0;4.6;5469;145.0;1.0;1500.0;65.0;45.0;161.178181239;0.594527363184;84.27;478.0;1.77777777778;1447.446;56.9992258135;5.9;804.0;10.2;0.268656716418;6.78333333333;216.0;70.423572744;46.5165049641;74.97;67.7587059076;16.0;180.378255895;118.747697974;16.2;95.0;intermediate
21.0;5.8;5682;21.0;0.994350282486;1500.0;29.0;10.0;189.183449782;0.149220489978;81.12;67.0;1.77777777778;205.5558;40.7644157443;5.8;449.0;3.8;0.236080178174;2.93333333333;106.0;22.7800759336;101.157334944;91.71;51.5018416401;5.0;156.536897153;152.660508868;5.1;42.0;intermediate
52.0;7.1;4275;104.0;1.0;1500.0;77.0;73.0;108.4753651;0.238160603981;77.67;347.0;1.77777777778;0.0;21.9279696872;7.3;1457.0;8.3;0.223747426218;7.63333333333;326.0;45.4475999214;15.9270745185;58.38;21.922743023;27.0;191.736774876;190.041693043;14.4;100.0;easy
