programming:DoWhileLoop;programming:Headers;VIDEO_DOMINANT_COLOR;programming:datawarehouse;VIDEO_AVERAGE_BRIGHTNESS;programming:PrimitiveType;programming:Array;WORD_AMOUNT;programming:ArithmeticOperator;programming:EqualityOperator;programming:Return;programming:ControlFlow;programming:machine-learning;VIDEO_DURATION;programming:Character;programming:Statement;programming:Encapsulation;UNCOMMON WORDS AMOUNT;VIDEO_WORDS_COUNT;VIDEO_DIFFICULT_WORDS;programming:iot;programming:Import;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;programming:ExceptionHandling;programming:Break;programming:Process;programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;programming:CallByValue;VIDEOID;programming:MemoryManagement;programming:If;programming:Method;programming:LambdaExpression;programming:Operator;programming:Synchronization;programming:encoding;programming:Interface;programming:ClassAttribute;programming:Inheritance;programming:Instantiation;programming:This;programming:GenericType;programming:Null;programming:Structure;programming:Attribute;programming:Composition;programming:Scope;programming:CallByReference;programming:Assertion;DIFFICULT_WORDS_AMOUNT;programming:MapReduce;programming:Parameter;programming:InstanceAttribute;programming:ShortCircuitEvaluation;programming:Expression;programming:Equality;programming:VariableInitialization;SPEECH_DISPLAY_WORDS_RATIO;programming:Generics;programming:EnhancedForLoop;programming:BinaryOperator;programming:Initialization;programming:AnonymousClass;programming:Assignment;AUTOMATED_READABILITY_INDEX;WORDS_PER_MINUTE;programming:Stack;programming:WhileLoop;programming:list;VIDEO_AVERAGE_HUE;programming:Modifier;EASY_VIDEO_READ;programming:sorting;programming:database;programming:Enum;programming:Boolean;programming:Comment;programming:Concurrency;programming:String;VIDEO_NOUN_PHRASES;programming:CheckedException;programming:entity;programming:Graph;programming:Loop;PHRASES_AMOUNT;programming:Package;VIDEO_SIZE;FLESCH_KINCAID_GRADE;programming:repository;programming:Artificial Intelligence;VIDEO_AVERAGE_LIGHT_EXPOSURE;programming:Constructor;programming:git;programming:bitmap;VIDEO_ASPECT_RATIO;VIDEO_AVERAGE_COLORFULNESS;FLESCH_READING_EASE;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;programming:Pointer;math:vector;programming:AbstractMethod;WORDS_PER_MINUTE_WHOLE_VIDEO;programming:ForLoop;programming:BitwiseOperator;programming:Object;VIDEO_PHRASES_COUNT;programming:Condition;programming:Casting;programming:ConditionalOperator;VIDEO_AVERAGE_SATURATION;programming:Class;programming:RelationalOperator;score
0.0;0.0;0.0;0.0;1.0;0.0;0.0;647.0;1.0;0.0;0.0;0.0;0.0;4.43333333333;0.0;0.0;0.0;275.0;514.0;13.0;0.0;0.0;0.0;147.03895519;0.8;0.0;0.0;0.0;0.0;70.0;0.0;7;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.794435857805;0.0;0.0;0.0;0.0;0.0;0.0;3.9;150.170963867;0.0;0.0;0.0;54.5998160791;0.0;106.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;142.0;0.0;0.0;0.0;0.0;47.0;0.0;1500.0;5.1;0.0;0.0;156.371798092;0.0;0.0;0.0;1.77777777778;28.01195863;82.85;2.3;0.425038639876;0.0;0.0;1.0;115.739698266;0.0;0.0;0.0;33.0;0.0;0.0;0.0;58.7423307599;0.0;0.0;intermediate
0.0;0.0;0.0;0.0;1.0;0.0;0.0;654.0;1.0;0.0;0.0;0.0;0.0;4.7;0.0;0.0;0.0;264.0;295.0;12.0;0.0;0.0;0.0;139.633585626;8.9;0.0;0.0;0.0;0.0;38.0;0.0;8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.451070336391;1.0;0.0;0.0;0.0;0.0;0.0;6.5;145.302302672;0.0;0.0;0.0;26.9432990201;0.0;97.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.0;0.0;0.0;0.0;0.0;32.0;0.0;1500.0;7.7;0.0;0.0;144.454870845;0.0;0.0;0.0;1.77777777778;27.9770187807;76.15;5.8;0.403669724771;0.0;0.0;0.0;62.6016835255;0.0;0.0;0.0;12.0;1.0;0.0;0.0;69.9937447242;0.0;0.0;intermediate
1.0;0.0;1677.7215;0.0;1.0;0.0;1.0;1130.0;0.0;0.0;1.0;1.0;0.0;7.46666666667;0.0;0.0;0.0;311.0;100.0;20.0;0.0;0.0;0.0;151.110912822;14.1;0.0;0.0;0.0;0.0;94.0;1.0;5166;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;124.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0884955752212;0.0;0.0;0.0;0.0;0.0;0.0;8.6;151.789963276;0.0;0.0;0.0;17.6319348576;0.0;84.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;1.0;53.0;0.0;1500.0;8.1;0.0;0.0;183.817616398;0.0;0.0;0.0;1.77777777778;18.9441945133;75.24;4.6;0.275221238938;0.0;0.0;0.0;13.3844918355;0.0;0.0;0.0;8.0;1.0;0.0;0.0;19.9517396033;1.0;0.0;easy
1.0;0.0;1677.7215;0.0;0.99577167019;0.0;1.0;1152.0;1.0;0.0;0.0;0.0;0.0;7.86666666667;0.0;0.0;0.0;307.0;144.0;37.0;0.0;1.0;0.0;146.161979277;17.0;0.0;0.0;0.0;1.0;95.0;0.0;5171;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;109.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.125;0.0;0.0;0.0;1.0;0.0;1.0;6.4;154.515072597;0.0;0.0;0.0;15.7449231902;0.0;70.19;0.0;0.0;0.0;1.0;0.0;0.0;1.0;73.0;0.0;0.0;0.0;1.0;71.0;0.0;1500.0;6.1;0.0;0.0;170.829898949;1.0;0.0;0.0;1.77777777778;9.66248779775;80.41;5.9;0.266493055556;0.0;0.0;0.0;18.2702474096;0.0;0.0;0.0;15.0;1.0;1.0;0.0;17.2400907941;1.0;0.0;easy
0.0;0.0;1677.7215;0.0;1.0;0.0;0.0;1440.0;1.0;0.0;0.0;0.0;0.0;7.96666666667;0.0;0.0;0.0;465.0;67.0;8.0;0.0;0.0;0.0;181.776394141;12.7;0.0;0.0;0.0;0.0;96.0;0.0;5697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0465277777778;0.0;0.0;0.0;0.0;0.0;0.0;5.7;182.831793478;0.0;0.0;0.0;34.3018086847;0.0;96.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;102.0;0.0;1500.0;5.2;0.0;0.0;229.407925534;0.0;0.0;0.0;1.77777777778;35.1345591589;82.54;1.8;0.322916666667;0.0;0.0;0.0;8.39932303964;0.0;0.0;0.0;8.0;0.0;1.0;0.0;26.3584196959;0.0;0.0;intermediate
0.0;0.0;1677.7215;0.0;0.997767857143;0.0;0.0;1346.0;1.0;0.0;0.0;0.0;0.0;7.45;0.0;0.0;0.0;397.0;74.0;24.0;0.0;0.0;0.0;184.380032206;23.2;0.0;0.0;1.0;0.0;65.0;0.0;5698;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;96.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0549777117385;0.0;0.0;1.0;0.0;0.0;0.0;9.2;184.381877791;0.0;0.0;0.0;30.6808305518;0.0;29.48;0.0;0.0;0.0;0.0;1.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;64.0;0.0;1500.0;9.1;0.0;0.0;224.541499191;0.0;0.0;0.0;1.77777777778;27.6195526946;67.08;15.3;0.294947994056;0.0;0.0;0.0;9.93022007515;0.0;0.0;0.0;3.0;0.0;0.0;0.0;18.7211567099;0.0;0.0;intermediate
0.0;0.0;1677.7215;0.0;0.997619047619;0.0;1.0;1409.0;1.0;0.0;0.0;0.0;0.0;6.98333333333;0.0;0.0;0.0;347.0;83.0;24.0;0.0;0.0;0.0;201.883867891;19.1;0.0;0.0;0.0;1.0;65.0;0.0;5702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0589070262598;0.0;0.0;0.0;0.0;0.0;1.0;7.6;209.129516926;0.0;0.0;0.0;37.4934224399;0.0;-7.41;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;73.0;0.0;1500.0;7.3;0.0;0.0;220.744556401;0.0;0.0;0.0;1.77777777778;33.7520510345;77.27;21.2;0.246273953158;0.0;0.0;0.0;11.8755216406;0.0;0.0;0.0;3.0;0.0;0.0;0.0;25.4985422959;0.0;0.0;easy
0.0;0.0;1677.7215;0.0;0.987562189055;0.0;0.0;903.0;0.0;0.0;0.0;0.0;0.0;6.7;0.0;0.0;0.0;227.0;115.0;34.0;0.0;0.0;0.0;134.628764536;16.8;0.0;0.0;0.0;0.0;57.0;0.0;5207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127353266888;0.0;0.0;0.0;0.0;0.0;0.0;6.5;139.220805947;0.0;0.0;0.0;15.6320343355;0.0;63.66;0.0;0.0;0.0;0.0;0.0;0.0;1.0;44.0;0.0;0.0;0.0;0.0;61.0;0.0;1500.0;6.7;0.0;0.0;180.299872133;0.0;0.0;0.0;1.77777777778;18.2842951322;73.37;6.3;0.25138427464;0.0;0.0;0.0;17.1454129808;0.0;0.0;0.0;15.0;0.0;0.0;0.0;18.915487733;0.0;0.0;easy
0.0;0.0;1677.7215;0.0;0.986072423398;0.0;0.0;832.0;0.0;0.0;0.0;0.0;0.0;5.98333333333;1.0;0.0;0.0;242.0;60.0;15.0;0.0;0.0;0.0;137.399482456;13.9;0.0;0.0;0.0;0.0;41.0;0.0;5217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0721153846154;0.0;0.0;0.0;0.0;0.0;0.0;6.3;145.097025188;0.0;0.0;0.0;9.39200617284;0.0;63.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;46.0;0.0;1500.0;6.8;0.0;0.0;179.395639341;0.0;0.0;1.0;1.77777777778;16.3992703535;78.48;6.2;0.290865384615;0.0;0.0;0.0;10.0169732046;0.0;0.0;0.0;8.0;0.0;0.0;0.0;17.1772099926;0.0;0.0;easy
0.0;0.0;1677.7215;0.0;1.0;0.0;0.0;998.0;0.0;0.0;0.0;0.0;1.0;5.71666666667;0.0;0.0;0.0;267.0;40.0;11.0;0.0;0.0;0.0;173.556602128;8.6;0.0;0.0;0.0;0.0;67.0;0.0;5234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0400801603206;0.0;0.0;0.0;0.0;0.0;0.0;9.5;173.844675461;0.0;0.0;0.0;32.7657003536;0.0;80.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;51.0;0.0;1404.0;8.6;0.0;0.0;190.152293749;0.0;0.0;0.0;1.6;14.1781579043;68.5;4.1;0.26753507014;0.0;0.0;0.0;6.97714983429;0.0;0.0;0.0;5.0;0.0;0.0;0.0;16.1281936743;0.0;0.0;intermediate
