NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
90.0;3.8;3;204.0;1.0;1500.0;64.0;11.0;152.850199848;0.470657276995;91.82;401.0;1.77777777778;0.0;24.5992773406;0.4;852.0;1.9;0.511737089202;150.894665617;436.0;69.5476224888;46.219233619;96.69;43.3321834022;47.0;5.75;147.940453823;-0.6;47.0;easy
38.0;7.7;8;80.0;1.0;1500.0;32.0;12.0;144.454870845;0.451070336391;76.15;295.0;1.77777777778;0.0;27.9770187807;6.5;654.0;5.8;0.403669724771;145.302302672;264.0;62.6016835255;26.9432990201;97.27;69.9937447242;12.0;4.7;139.633585626;8.9;52.0;easy
64.0;9.5;4257;27.0;1.0;1500.0;41.0;21.0;188.536223688;0.0871694417238;71.58;89.0;1.77777777778;1664.5629;9.43868011695;10.8;1021.0;35.6;0.269343780607;189.149383551;275.0;16.4571005917;6.06968085233;-1.95;4.92388601021;1.0;5.4;188.794378698;45.7;93.0;intermediate
136.0;6.3;4287;47.0;1.0;1500.0;126.0;29.0;172.845615809;0.067804646752;79.9;143.0;1.77777777778;1677.7215;36.2253963624;6.8;2109.0;11.2;0.281175912755;186.217374678;593.0;12.5765881974;14.7303255605;40.04;26.27587687;10.0;11.3666666667;184.867051684;16.9;179.0;easy
121.0;7.7;4313;35.0;1.0;1500.0;101.0;41.0;138.886188105;0.0732883317261;76.05;152.0;1.77777777778;1677.7215;30.5360566954;8.4;2074.0;8.0;0.279170684667;176.724713341;579.0;12.9359867236;16.6768711023;64.51;32.385660786;10.0;11.75;177.529396746;11.3;156.0;difficult
81.0;7.7;4334;55.0;1.0;1500.0;57.0;35.0;187.298671661;0.152192605331;76.15;177.0;1.77777777778;1677.7215;19.2975945355;8.3;1163.0;12.0;0.272570937231;189.152841376;317.0;28.7399870102;9.80943507049;54.26;13.4783761522;7.0;6.15;189.32669409;17.2;119.0;intermediate
76.0;8.0;4340;141.0;1.0;1500.0;58.0;96.0;162.788295243;0.293398533007;75.34;360.0;1.77777777778;1677.7215;31.4017462014;9.2;1227.0;10.5;0.246128769356;173.780509519;302.0;51.1702833318;15.5493086146;41.97;25.9531262845;29.0;7.03333333333;173.694683976;18.6;109.0;easy
109.0;8.5;4410;113.0;1.0;1500.0;90.0;67.0;105.069646252;0.139095592444;68.7;243.0;1.77777777778;0.0;25.1333147085;8.7;1747.0;6.8;0.297080709788;169.504002042;519.0;23.8437888402;23.9661192209;62.34;44.6044743319;27.0;10.1833333333;169.555831752;20.6;163.0;intermediate
94.0;7.3;4424;26.0;1.0;1500.0;89.0;24.0;187.98536062;0.0478468899522;71.75;70.0;1.77777777778;1677.7215;29.1122022628;7.9;1463.0;10.1;0.30963773069;166.497477398;453.0;7.89651801158;9.19561334253;53.71;17.8158317089;4.0;8.85;164.360382041;16.5;162.0;difficult
54.0;2.9;4445;145.0;1.0;1260.0;67.0;72.0;163.831480002;0.569482288828;94.15;418.0;1.33333333333;1677.7215;43.2652827743;2.1;734.0;8.0;0.287465940054;186.53299888;211.0;97.5875486381;93.1577670449;69.92;61.3886414822;23.0;4.28333333333;170.428015564;12.6;58.0;difficult
