NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
70.0;5.1;7;142.0;1.0;1500.0;47.0;13.0;156.371798092;0.794435857805;82.85;514.0;1.77777777778;0.0;28.01195863;3.9;647.0;2.3;0.425038639876;150.170963867;275.0;115.739698266;54.5998160791;106.4;58.7423307599;33.0;4.43333333333;147.03895519;0.8;37.0;intermediate
38.0;7.7;8;80.0;1.0;1500.0;32.0;12.0;144.454870845;0.451070336391;76.15;295.0;1.77777777778;0.0;27.9770187807;6.5;654.0;5.8;0.403669724771;145.302302672;264.0;62.6016835255;26.9432990201;97.27;69.9937447242;12.0;4.7;139.633585626;8.9;52.0;intermediate
25.0;5.6;11;58.0;1.0;1500.0;42.0;5.0;142.920770185;0.264240506329;81.63;167.0;1.77777777778;0.0;31.0305555815;3.8;632.0;4.4;0.337025316456;154.430122805;213.0;40.0848101772;31.867618125;101.02;64.1455592824;8.0;4.15;152.178261391;6.4;40.0;easy
94.0;8.1;5166;27.0;1.0;1500.0;53.0;20.0;183.817616398;0.0884955752212;75.24;100.0;1.77777777778;1677.7215;18.9441945133;8.6;1130.0;4.6;0.275221238938;151.789963276;311.0;13.3844918355;17.6319348576;84.17;19.9517396033;8.0;7.46666666667;151.110912822;14.1;124.0;intermediate
95.0;6.1;5171;73.0;0.99577167019;1500.0;71.0;37.0;170.829898949;0.125;80.41;144.0;1.77777777778;1677.7215;9.66248779775;6.4;1152.0;5.9;0.266493055556;154.515072597;307.0;18.2702474096;15.7449231902;70.19;17.2400907941;15.0;7.86666666667;146.161979277;17.0;109.0;intermediate
143.0;11.5;1594;115.0;0.991266375546;1500.0;61.0;137.0;225.881653682;0.351179673321;44.64;387.0;1.77777777778;1677.7215;15.7190855258;13.0;1102.0;14.9;0.320326678766;156.7101814;353.0;50.7352459195;65.3493384498;41.23;10.5929040944;13.0;7.61666666667;143.815412852;21.0;242.0;easy
39.0;6.2;5180;40.0;0.980456026059;1500.0;41.0;30.0;171.875155226;0.165191740413;80.11;112.0;1.77777777778;1677.7215;4.97789568412;7.1;678.0;7.6;0.315634218289;140.475197999;214.0;22.6843100189;11.7849698647;54.9;4.90607545894;14.0;4.93333333333;136.71347556;12.3;70.0;easy
37.0;5.9;5701;5.0;0.997555012225;1500.0;79.0;4.0;218.388262898;0.0137096774194;80.92;17.0;1.77777777778;1677.7215;18.5608761531;5.4;1240.0;9.1;0.249193548387;187.982187967;309.0;2.49804075235;31.1804929593;40.31;15.8166496499;3.0;6.8;182.503918495;6.6;88.0;easy
65.0;7.3;5702;9.0;0.997619047619;1500.0;73.0;24.0;220.744556401;0.0589070262598;77.27;83.0;1.77777777778;1677.7215;33.7520510345;7.6;1409.0;21.2;0.246273953158;209.129516926;347.0;11.8755216406;37.4934224399;-7.41;25.4985422959;3.0;6.98333333333;201.883867891;19.1;98.0;intermediate
47.0;9.8;5249;32.0;1.0;1404.0;40.0;11.0;213.287132716;0.0916179337232;70.77;94.0;1.6;1677.7215;23.9627811489;10.5;1026.0;7.9;0.278752436647;152.679777811;286.0;14.0996475088;14.3180017286;59.5;12.2120240579;8.0;6.66666666667;152.546186345;13.7;90.0;easy
39.0;7.4;5261;15.0;1.0;1404.0;38.0;13.0;204.892195196;0.0755905511811;71.44;48.0;1.6;1677.7215;11.2100402719;7.6;635.0;8.4;0.288188976378;146.477347468;183.0;11.1248454883;18.5851558155;63.7;9.70817945095;3.0;4.3;146.477132262;13.5;68.0;easy
76.0;10.9;5270;7.0;1.0;1500.0;35.0;10.0;237.543077307;0.026936026936;62.51;24.0;1.77777777778;1677.7215;20.7439895275;12.4;891.0;8.8;0.297418630752;145.97260274;265.0;3.94002407792;19.9851474746;46.44;12.9977060301;3.0;6.08333333333;145.780890883;14.7;114.0;easy
