programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_AVERAGE_COLORFULNESS;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;programming:Array;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;programming:Interface;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;programming:Inheritance;VIDEO_DURATION;programming:Encapsulation;programming:WhileLoop;UNCOMMON WORDS AMOUNT;programming:If;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;programming:ForLoop;programming:Object;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;VIDEO_NOUN_PHRASES;programming:ExceptionHandling;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;VIDEO_AVERAGE_SATURATION;programming:Class;score
0.0;75.0;9.0;5330;20.684;0.994;1500.0;37.0;44.0;0.0;241.572;0.186;67.38;143.0;1.778;1677.722;0.0;9.8;767.0;8.2;0.353;1.0;5.317;0.0;0.0;271.0;0.0;26.827;18.724;47.96;0.0;0.0;22.0;152.779;60.0;0.0;0.0;136.01;19.5;88.0;9.845;0.0;intermediate
0.0;21.0;5.8;5682;40.825;0.994;1500.0;29.0;10.0;0.0;189.183;0.149;81.12;67.0;1.778;205.556;0.0;5.8;449.0;3.8;0.236;0.0;2.933;0.0;1.0;106.0;0.0;22.78;101.157;91.71;1.0;0.0;5.0;156.537;21.0;0.0;0.0;152.661;5.1;42.0;51.502;0.0;intermediate
0.0;115.0;4.9;5708;40.094;0.996;1500.0;62.0;19.0;0.0;226.27;0.064;83.36;53.0;1.778;1677.722;0.0;5.9;825.0;3.2;0.345;0.0;4.517;0.0;0.0;285.0;0.0;11.715;32.007;87.92;1.0;0.0;6.0;186.962;24.0;0.0;0.0;182.361;14.8;71.0;27.578;0.0;easy
0.0;82.0;9.8;3162;0.06;1.0;1500.0;60.0;29.0;0.0;245.227;0.107;54.42;108.0;1.778;1677.722;0.0;11.1;1007.0;10.9;0.37;0.0;7.133;0.0;0.0;373.0;1.0;15.121;0.017;40.85;0.0;0.0;8.0;143.809;22.0;0.0;0.0;140.987;14.1;154.0;0.005;0.0;intermediate
0.0;80.0;9.0;5307;17.98;0.999;1500.0;101.0;57.0;0.0;249.77;0.1;67.49;208.0;1.778;1677.722;0.0;9.9;2083.0;5.8;0.261;0.0;13.65;0.0;0.0;544.0;1.0;15.228;10.218;70.29;0.0;0.0;22.0;151.984;78.0;0.0;0.0;152.795;13.7;159.0;5.073;0.0;intermediate
0.0;81.0;6.5;2834;13.291;0.996;1500.0;62.0;42.0;0.0;156.482;0.187;73.88;165.0;1.778;1664.563;0.0;6.9;884.0;8.7;0.321;0.0;4.483;1.0;0.0;284.0;0.0;36.8;18.463;57.47;0.0;0.0;12.0;199.97;26.0;0.0;0.0;201.844;10.2;112.0;24.652;0.0;intermediate
0.0;88.0;6.2;5310;11.113;0.999;1500.0;113.0;66.0;0.0;247.881;0.238;74.79;360.0;1.778;1677.722;0.0;5.7;1515.0;6.8;0.369;0.0;13.483;0.0;0.0;559.0;1.0;26.67;7.424;67.76;1.0;0.0;30.0;112.618;119.0;0.0;0.0;112.531;10.9;131.0;3.066;0.0;intermediate
0.0;102.0;8.1;5317;17.392;0.999;1500.0;119.0;56.0;1.0;244.468;0.103;64.3;190.0;1.778;1677.722;0.0;7.0;1837.0;15.0;0.273;0.0;11.05;0.0;0.0;502.0;0.0;17.179;14.07;35.51;0.0;0.0;7.0;174.275;67.0;0.0;0.0;165.19;19.6;204.0;5.694;0.0;intermediate
0.0;245.0;9.1;1188;13.086;1.0;1500.0;165.0;42.0;0.0;248.322;0.058;72.39;230.0;1.778;1677.722;0.0;9.7;3982.0;12.2;0.27;1.0;23.917;0.0;0.0;1075.0;0.0;9.614;15.035;59.16;0.0;1.0;8.0;166.927;62.0;0.0;0.0;166.405;13.9;223.0;4.436;1.0;easy
0.0;100.0;8.0;4266;14.133;1.0;1500.0;91.0;57.0;0.0;153.396;0.203;70.02;335.0;1.778;1677.722;0.0;7.8;1650.0;10.3;0.282;0.0;9.233;0.0;0.0;465.0;1.0;36.282;12.875;64.14;0.0;0.0;14.0;179.633;82.0;0.0;0.0;178.592;14.5;114.0;20.954;0.0;easy
