ID;WORD_AMOUNT;NOUN_PHRASES_AMOUNT;PHRASES_AMOUNT;AUTOMATED_READABILITY_INDEX;FLESCH_READING_EASE;DIFFICULT_WORDS_AMOUNT;qualification;FLESCH_KINCAID_GRADE
1536;1156.0;43.0;57.0;8.4;76.25;96.0;3.0;7.7
4610;1757.0;104.0;117.0;6.6;81.63;166.0;3.0;5.6
5643;528.0;21.0;24.0;7.3;82.99;30.0;4.0;7.2
5151;3086.0;238.0;153.0;9.2;67.89;286.0;3.0;8.8
5672;363.0;21.0;25.0;5.0;82.14;41.0;5.0;5.4
5677;525.0;23.0;32.0;6.3;80.21;40.0;5.0;6.1
5679;494.0;34.0;28.0;5.3;78.99;42.0;5.0;6.6
5680;412.0;38.0;21.0;8.7;68.5;48.0;5.0;8.6
5682;449.0;21.0;29.0;5.8;81.12;42.0;5.0;5.8
5704;825.0;42.0;46.0;9.5;70.23;62.0;5.0;7.9
5708;825.0;115.0;62.0;5.9;83.36;71.0;5.0;4.9
3854;1527.0;99.0;84.0;8.5;69.92;122.0;4.0;8.0
3161;172.0;12.0;11.0;9.5;55.64;34.0;4.0;9.4
3162;1007.0;82.0;60.0;11.1;54.42;154.0;3.0;9.8
5727;707.0;37.0;49.0;3.4;90.7;43.0;4.0;4.2
3857;1713.0;115.0;115.0;6.8;81.73;113.0;4.0;5.6
4717;1916.0;168.0;105.0;8.2;78.38;160.0;3.0;6.8
4718;1127.0;102.0;80.0;6.1;82.54;109.0;3.0;5.2
4720;1264.0;77.0;72.0;7.9;78.99;111.0;3.0;6.6
4721;987.0;68.0;67.0;7.4;73.47;110.0;4.0;6.7
5310;1515.0;88.0;113.0;5.7;74.79;131.0;4.0;6.2
1174;1094.0;115.0;54.0;7.3;76.25;91.0;2.0;7.7
1175;1749.0;178.0;100.0;7.2;79.09;143.0;2.0;6.6
1188;3982.0;245.0;165.0;9.7;72.39;223.0;2.0;9.1
5489;821.0;54.0;61.0;4.7;83.15;71.0;4.0;5.0
1194;2199.0;157.0;93.0;12.6;55.98;264.0;1.0;11.3
3759;1439.0;97.0;75.0;9.6;60.45;118.0;3.0;9.6
3248;710.0;81.0;51.0;8.9;65.83;110.0;4.5;7.5
4274;1500.0;73.0;89.0;6.8;79.7;103.0;2.0;6.3
4275;1457.0;52.0;77.0;7.3;77.67;100.0;2.0;7.1
3254;934.0;79.0;62.0;8.7;64.61;130.0;3.0;8.0
5303;1010.0;57.0;67.0;9.3;64.61;153.0;5.0;8.0
5304;3041.0;182.0;187.0;8.4;63.39;335.0;4.0;8.5
3257;180.0;13.0;11.0;9.5;63.29;31.0;5.0;8.5
5307;2083.0;80.0;101.0;9.9;67.49;159.0;4.0;9.0
5308;1892.0;132.0;67.0;13.3;51.31;150.0;4.0;13.1
5309;1761.0;82.0;76.0;10.3;64.85;108.0;4.5;10.0
1214;1523.0;135.0;72.0;10.0;66.88;139.0;3.0;9.2
4287;2109.0;136.0;126.0;6.8;79.9;179.0;3.0;6.3
5312;905.0;56.0;91.0;2.4;86.81;42.0;3.0;3.6
1217;2514.0;149.0;106.0;11.5;64.34;241.0;2.0;10.2
5314;890.0;53.0;53.0;7.7;71.34;99.0;3.0;7.5
3269;75.0;8.0;7.0;7.1;69.07;16.0;5.0;6.3
4294;1155.0;83.0;48.0;9.9;80.85;89.0;3.0;8.0
5320;1208.0;113.0;52.0;11.8;64.85;94.0;5.0;10.0
5322;1653.0;116.0;118.0;6.9;74.19;135.0;4.0;6.4
3275;1148.0;147.0;84.0;10.3;66.03;168.0;4.0;7.5
3276;276.0;37.0;16.0;11.6;53.92;66.0;3.0;10.0
5326;2242.0;130.0;86.0;11.6;61.9;160.0;4.0;11.1
5328;2625.0;139.0;101.0;11.8;62.01;195.0;4.0;11.1
5330;767.0;75.0;37.0;9.8;67.38;88.0;4.0;9.0
5332;2925.0;158.0;115.0;11.9;62.61;265.0;4.0;10.8
5336;2233.0;102.0;95.0;11.0;73.0;134.0;3.0;8.9
4313;2074.0;121.0;101.0;8.4;76.05;156.0;2.0;7.7
3291;617.0;43.0;36.0;9.1;71.04;85.0;4.0;7.6
3292;380.0;25.0;21.0;8.5;70.02;47.0;5.0;8.0
4318;1654.0;108.0;94.0;7.6;78.99;141.0;2.0;6.6
4319;1107.0;61.0;63.0;8.2;70.53;117.0;2.0;7.8
5840;37.0;6.0;3.0;12.2;42.07;5.0;5.0;10.4
1261;1505.0;126.0;61.0;10.8;71.78;121.0;1.0;9.4
4334;1163.0;81.0;57.0;8.3;76.15;119.0;3.0;7.7
4340;1227.0;76.0;58.0;9.2;75.34;109.0;2.0;8.0
3892;663.0;52.0;40.0;8.6;71.55;66.0;5.0;7.4
761;594.0;41.0;44.0;5.5;83.15;76.0;4.0;5.0
3842;2180.0;152.0;126.0;8.1;70.84;180.0;4.0;7.7
3843;229.0;3.0;9.0;11.2;71.07;26.0;5.0;9.7
3844;1321.0;89.0;61.0;10.1;66.37;108.0;5.0;9.4
3845;1284.0;67.0;71.0;8.4;70.02;121.0;4.0;8.0
3335;427.0;34.0;34.0;4.6;75.61;44.0;4.0;5.8
778;1452.0;107.0;112.0;5.1;83.66;156.0;3.0;4.8
5387;966.0;53.0;72.0;5.1;83.25;83.0;3.0;5.0
781;217.0;10.0;17.0;6.9;66.94;44.0;4.0;7.1
782;105.0;8.0;5.0;12.9;50.16;33.0;5.0;11.5
3856;924.0;59.0;50.0;8.6;69.62;93.0;3.0;8.1
785;1099.0;96.0;83.0;7.2;66.54;176.0;3.0;7.3
786;1938.0;143.0;102.0;9.8;60.65;251.0;3.0;9.5
788;1234.0;108.0;79.0;8.0;64.1;157.0;2.0;8.2
789;529.0;36.0;36.0;7.4;73.47;72.0;3.0;6.7
3350;893.0;44.0;61.0;7.1;73.58;94.0;4.0;6.6
791;483.0;40.0;49.0;5.1;78.35;76.0;3.0;4.8
3352;677.0;47.0;43.0;5.9;80.92;70.0;5.0;5.9
4378;1658.0;115.0;126.0;4.7;83.46;135.0;2.0;4.9
4399;2225.0;141.0;120.0;7.5;78.08;157.0;3.0;7.0
5411;423.0;22.0;25.0;8.2;71.24;66.0;5.0;7.5
3364;2081.0;87.0;133.0;5.4;81.02;143.0;4.0;5.8
5413;257.0;19.0;11.0;11.6;64.64;36.0;5.0;10.1
807;2311.0;166.0;134.0;7.8;70.94;274.0;3.0;7.6
3884;21.0;4.0;1.0;14.2;41.7;9.0;5.0;12.7
3887;1005.0;98.0;66.0;7.1;72.97;94.0;4.0;6.9
4400;1504.0;117.0;79.0;9.1;69.11;153.0;2.0;8.3
3889;611.0;47.0;40.0;6.3;72.87;78.0;5.0;6.9
4403;1313.0;92.0;90.0;5.9;82.04;140.0;3.0;5.4
2356;1697.0;130.0;113.0;7.6;73.17;206.0;4.0;6.8
3294;331.0;22.0;21.0;9.1;63.9;62.0;5.0;8.3
5430;508.0;22.0;36.0;7.0;74.08;74.0;5.0;6.4
3380;1412.0;109.0;94.0;6.2;73.17;118.0;5.0;6.8
4410;1747.0;109.0;90.0;8.7;68.7;163.0;3.0;8.5
4413;1995.0;160.0;117.0;7.4;79.5;179.0;2.0;6.4
5429;491.0;35.0;35.0;7.0;74.19;73.0;5.0;6.4
3904;896.0;68.0;53.0;8.8;71.24;106.0;4.0;7.5
835;1694.0;129.0;104.0;7.3;71.85;165.0;4.0;7.3
5381;1897.0;104.0;97.0;7.8;76.96;130.0;5.0;7.4
4423;1281.0;105.0;75.0;8.1;71.04;128.0;3.0;7.6
4424;1463.0;94.0;89.0;7.9;71.75;162.0;2.0;7.3
3914;475.0;44.0;28.0;10.0;62.68;74.0;4.0;8.7
4430;2081.0;132.0;120.0;7.7;79.3;196.0;1.5;6.5
4370;1787.0;76.0;116.0;4.8;89.68;110.0;2.0;4.6
5483;415.0;26.0;27.0;6.2;72.76;64.0;5.0;6.9
5487;764.0;43.0;51.0;7.3;73.17;99.0;4.0;6.8
5488;805.0;51.0;52.0;6.0;81.12;78.0;4.0;5.8
4465;1791.0;74.0;130.0;4.2;91.31;114.0;4.0;4.0
5505;478.0;23.0;35.0;5.4;82.95;46.0;5.0;5.1
419;1231.0;87.0;96.0;4.3;75.4;122.0;5.0;5.9
421;1780.0;94.0;109.0;5.9;80.31;98.0;5.0;6.1
5544;1460.0;155.0;116.0;5.3;84.07;153.0;3.5;4.7
428;1368.0;89.0;95.0;5.5;82.24;104.0;4.0;5.4
2479;343.0;16.0;24.0;6.8;73.88;46.0;4.0;6.5
5554;882.0;64.0;60.0;7.1;73.47;113.0;3.0;6.7
5556;428.0;30.0;22.0;10.3;68.6;71.0;5.0;8.5
5557;633.0;31.0;33.0;8.9;68.91;76.0;4.0;8.4
5558;940.0;70.0;79.0;6.3;76.32;111.0;3.0;5.6
5559;712.0;44.0;42.0;9.1;71.14;92.0;4.0;7.6
5560;631.0;44.0;40.0;8.3;72.36;79.0;4.5;7.1
5561;131.0;6.0;7.0;11.7;60.95;31.0;5.0;9.4
4027;2968.0;193.0;147.0;9.2;67.89;271.0;2.5;8.8
5568;1167.0;125.0;76.0;9.0;64.3;160.0;4.0;8.1
5621;1756.0;107.0;98.0;8.0;78.69;119.0;5.0;6.7
5622;1261.0;75.0;94.0;5.1;83.25;111.0;5.0;5.0
5624;300.0;14.0;16.0;9.6;69.31;47.0;5.0;8.3
5628;4920.0;318.0;374.0;4.4;83.46;307.0;5.0;4.9
4266;1650.0;100.0;91.0;7.8;70.02;114.0;3.0;8.0
5630;4050.0;249.0;273.0;5.3;81.83;261.0;5.0;5.5
